scraped_page,title,detail_url,price(USD),building_area(m²),land_area(m²),bedrooms,bathrooms,location,image_count,image_filenames,price_per_sqm,property_type
17,"Residential Stands for sale in Bulawayo, Eloana Brooke",https://www.property.co.zw/for-sale/residential-land-stands-vei116238,180000.0,800.0,6000.0,3.0,2.0,Bulawayo,1,0d25f3e004_0.webp,26.47058823529412,land
17,Grand Family Residence with Cottage on 4047sqm,https://www.property.co.zw/for-sale/houses-leg223477,420000.0,4047.0,600.0,5.0,3.0,Mount Pleasant,1,08f8f9855f_0.webp,90.38089089735313,house
17,Neat Double Storey House on Borrowdale Brooke Drive near Blue Roof,https://www.property.co.zw/for-sale/houses-oas212395,395000.0,400.0,2548.0,2.0,3.0,Borrowdale,1,ebff5b6c05_0.webp,133.98914518317503,house
17,Living Amongst The Msasas With Beautiful Views,https://www.property.co.zw/for-sale/land-pgp188165,380000.0,600.0,10886.0,3.0,2.0,Msasa,1,6a30f47299_0.webp,,land
17,Commerical Property For Sale in Kelvin North,https://www.property.co.zw/for-sale/commercial-property-pgp217420,190000.0,1600.0,1600.0,3.0,2.0,Bulawayo,1,c40a0dc7ac_0.webp,59.375,commercial
17,4-Bedroom Home in Houghton Park For Sale,https://www.property.co.zw/for-sale/houses-gat219756,105000.0,690.0,690.0,4.0,2.0,Harare,1,e9b884750a_0.webp,76.08695652173913,house
17,Prime 16 sqm Retail Space for Sale on Second Floor,https://www.property.co.zw/for-sale/shops-sef224016,42000.0,16.0,520.0,3.0,2.0,Harare,1,c2cdbbf91f_0.webp,78.35820895522389,commercial
17,Prime 10ha Agro-Residential Plot For Sale In Ruwa,https://www.property.co.zw/for-sale/agricultural-land-farms-sef217995,350000.0,600.0,100000.0,3.0,2.0,Harare,1,89c085004c_0.webp,,land
17,Manresa $60 000,https://www.property.co.zw/for-sale/residential-land-stands-lcre218727,60000.0,2058.0,2058.0,3.0,2.0,Harare,1,ab2a003f18_0.webp,14.57725947521866,land
17,Escape To The Country,https://www.property.co.zw/for-sale/residential-land-stands-pgp194144,171150.0,600.0,16300.0,3.0,2.0,Harare,1,3374ecc031_0.webp,,land
18,"Modern, Secure And Great Investment",https://www.property.co.zw/for-sale/townhouses-clrp226080,235000.0,168.0,499.0,3.0,2.0,Greendale,1,7e430d0de8_0.webp,352.32383808095955,house
18,Partialy Built House for Sale,https://www.property.co.zw/for-sale/houses-rws225552,90000.0,400.0,1000.0,4.0,2.0,Harare,1,ce3d9e601d_0.webp,64.28571428571429,house
18,Looking for a depot for long distance haulage or offices,https://www.property.co.zw/for-sale/warehouses-jpc208023,490000.0,3800.0,3800.0,4.0,2.0,Unknown,1,2459508a05_0.webp,64.47368421052632,house
18,Prime 300 m² Stand for Sale in Nyabira - Your Dream Home Awaits,https://www.property.co.zw/for-sale/residential-land-stands-cac226867,17000.0,350.0,300.0,4.0,2.0,Unknown,1,3bd3719554_0.webp,,house
18,Beautifully Fitted 4 Bedroomed Family Home,https://www.property.co.zw/for-sale/houses-knp216866,580000.0,434.0,4047.0,4.0,3.0,Mount Pleasant,1,de46801b63_0.webp,129.43539388529345,house
18,Extremely Beautiful,https://www.property.co.zw/for-sale/houses-hvn220365,145000.0,200.0,400.0,4.0,2.0,Unknown,1,5c55031ebd_0.webp,241.66666666666663,house
18,Great Starter Home for Sale,https://www.property.co.zw/for-sale/houses-rws225551,90000.0,500.0,1300.0,4.0,2.0,Harare,1,b683ddb50d_0.webp,50.0,house
19,Kambanji stand for sale -160k,https://www.property.co.zw/for-sale/residential-land-stands-mac218757,160000.0,600.0,4000.0,3.0,2.0,Harare,1,e60575c89c_0.webp,,land
19,Mvuma Orangia,https://www.property.co.zw/for-sale/agricultural-land-farms-pld206383,70000.0,600.0,150000.0,3.0,2.0,Unknown,1,a2d949c919_0.webp,,land
19,Commercial industrial stand for sale,https://www.property.co.zw/for-sale/commercial-land-gat228742,100000.0,600.0,2300.0,3.0,2.0,Harare,1,4a066189b4_0.webp,,land
19,New on the market,https://www.property.co.zw/for-sale/houses-rws207709,85000.0,180.0,375.0,3.0,2.0,Harare,1,b323261c1c_0.webp,153.15315315315314,house
19,Prime land for sale in Gletwin Park,https://www.property.co.zw/for-sale/residential-land-stands-rws227690,173000.0,600.0,3445.0,3.0,2.0,Harare,1,9e16743440_0.webp,,land
19,A Big Residential Stand,https://www.property.co.zw/for-sale/residential-land-stands-rws225531,185000.0,6000.0,6000.0,3.0,2.0,Harare,1,b93820faa9_0.webp,15.416666666666666,land
19,Value for money,https://www.property.co.zw/for-sale/commercial-property-rws226564,700000.0,500.0,12000.0,3.0,2.0,Harare,1,aff29879a8_0.webp,,commercial
19,"Prime 2000m² Residential Land in Mt Pleasant Heights, Phase 1, Harare",https://www.property.co.zw/for-sale/residential-land-stands-cac215559,92000.0,600.0,2000.0,3.0,2.0,Mt Pleasant,1,719e4850a7_0.webp,,land
19,Price Reduction - Make An Offer -Ready For Development,https://www.property.co.zw/for-sale/agricultural-land-farms-apc177498,650000.0,600.0,65964.0,3.0,2.0,Msasa,1,2d6fe54a02_0.webp,,land
20,Architecturally Designed Double Storey Home in Carrick Creagh Estate,https://www.property.co.zw/for-sale/houses-pgp226417,650000.0,902.0,2000.0,5.0,3.0,Harare,1,984e2c3319_0.webp,223.98345968297727,house
20,PHILADELPHIA - $300k,https://www.property.co.zw/for-sale/land-mac206691,300000.0,600.0,6000.0,3.0,2.0,Harare,1,3899813f29_0.webp,,land
20,"Boulders Estate,Ruwa  Residential Grandeur",https://www.property.co.zw/for-sale/land-pgp209628,62510.0,23.0,2113.0,3.0,2.0,Unknown,1,96fd22aca1_0.webp,29.26498127340824,land
20,Modern Luxury 4-Bedroom Home for Sale in Pomona,https://www.property.co.zw/for-sale/houses-leg225364,590000.0,350.0,1395.0,4.0,2.0,Harare,1,c93b97ed60_0.webp,338.10888252149,house
20,Investment Opportunity in Greendale,https://www.property.co.zw/for-sale/houses-knp222930,390000.0,380.0,6170.0,2.0,1.0,Greendale,1,23ee447de6_0.webp,59.54198473282442,house
20,A Tranquil Haven with Extensive Amenities and Garden Oasis,https://www.property.co.zw/for-sale/houses-red224502,310000.0,434.0,4097.0,4.0,2.0,Bulawayo,1,ee7cb7aa51_0.webp,68.41756786581328,house
20,Luxury Family Home with Pool in Suburban Mount Pleasant,https://www.property.co.zw/for-sale/houses-rws214833,570000.0,450.0,4860.0,4.0,2.0,Mount Pleasant,1,b0b3fd57e1_0.webp,107.34463276836158,house
20,Agro Plot Lodge Tranquil Haven In Nyanga,https://www.property.co.zw/for-sale/agricultural-land-farms-sef227301,650000.0,600.0,330000.0,2.0,1.0,Unknown,1,6061e40644_0.webp,,land
20,Spacious Family Home,https://www.property.co.zw/for-sale/houses-pgp227082,125000.0,350.0,1626.0,3.0,2.0,Bulawayo,1,89448ed183_0.webp,,house
21,The Grange,https://www.property.co.zw/for-sale/houses-pgp226328,350000.0,500.0,2280.0,4.0,4.0,Marlborough,1,9fdb97c25d_0.webp,125.89928057553956,house
21,Fresh Prestigious Residential Stands  Discounts for full payment - Minimal Terms ,https://www.property.co.zw/for-sale/residential-land-stands-prv8598,62500.0,600.0,1250.0,3.0,2.0,Mt Pleasant,1,78612c1a38_0.webp,,land
21,Exclusive 4-Bed Townhouse with Borehole in Carrick Creagh,https://www.property.co.zw/for-sale/townhouses-mac213166,250000.0,44.0,600.0,4.0,2.0,Harare,1,1fd84a1b18_0.webp,388.1987577639752,house
21,Your ideal property,https://www.property.co.zw/for-sale/houses-rws227273,100000.0,450.0,962.0,3.0,2.0,Harare,1,cab3b90741_0.webp,70.8215297450425,house
21,Great Investment Opportunity,https://www.property.co.zw/for-sale/warehouses-rws226871,450000.0,4000.0,5000.0,4.0,2.0,Harare,1,de17aa7599_0.webp,50.0,house
21,Apartment Model 4,https://www.property.co.zw/for-sale/flats-apartments-mbe167817,66000.0,105.0,105.0,2.0,1.0,Harare,1,f04c9341be_0.webp,314.2857142857143,apartment
21,Spacious 3 Bedroom Property in Chisipite,https://www.property.co.zw/for-sale/houses-pgp210333,480000.0,200.0,1000.0,3.0,2.0,Harare,1,7ff428ef94_0.webp,400.0,house
21,Emganwini Valley Medium Residential Stands for Sale,https://www.property.co.zw/for-sale/residential-land-stands-vei177673,18000.0,600.0,600.0,3.0,2.0,Bulawayo,1,63d2ee8e43_0.webp,,land
21,Carrick CREAGH Stand for Sale,https://www.property.co.zw/for-sale/residential-land-stands-kha176594,140000.0,600.0,2000.0,3.0,2.0,Harare,1,ec8af1a33f_0.webp,,land
21,Executive Townhouse in Borrowdale Brooke Along Crowhill Road,https://www.property.co.zw/for-sale/townhouses-pgp197537,750000.0,850.0,1660.0,7.0,3.0,Borrowdale,1,3df7b9b28b_0.webp,298.804780876494,house
21,Investment Opportunity,https://www.property.co.zw/for-sale/commercial-land-hmsl219068,1000000.0,200.0,200000.0,3.0,2.0,Harare,1,18129f932a_0.webp,4.995004995004995,land
21,A Rare Find 2-in-1 Apartment in Marlborough,https://www.property.co.zw/for-sale/flats-apartments-hlx226960,220000.0,270.0,350.0,6.0,3.0,Marlborough,1,5957f8e8de_0.webp,354.83870967741933,apartment
22,"Borrowdales Finest- Neat, Solid and Modern On Show",https://www.property.co.zw/for-sale/houses-mac228493,470000.0,440.0,2200.0,2.0,2.0,Bulawayo,1,7dc51deff1_0.webp,178.03030303030303,house
22,Polished  Sophisticated,https://www.property.co.zw/for-sale/townhouses-jpc227522,149000.0,33.0,812.0,3.0,2.0,Bulawayo,1,cad45c8afd_0.webp,176.33136094674558,house
22,Greystone Park  Double-Storey Home on 1 Acre,https://www.property.co.zw/for-sale/houses-leg227880,680000.0,800.0,4047.0,7.0,3.0,Greystone Park,1,bc9b639d04_0.webp,140.29296472044564,house
22,"Prime 12,000 m² Arable Farm Land in Selous - Ideal Investment Opportunity",https://www.property.co.zw/for-sale/agricultural-land-farms-rws225506,75000.0,600.0,12000.0,3.0,2.0,Harare,1,34709043ce_0.webp,,land
22,Highland,https://www.property.co.zw/for-sale/townhouses-oas227384,350000.0,350.0,500.0,3.0,2.0,Highlands,1,7864b332d1_0.webp,411.7647058823529,house
